0.0000,0.1525
0.0628,0.1715
0.1257,0.1946
0.1885,0.2223
0.2513,0.2552
0.3142,0.2938
0.3770,0.3382
0.4398,0.3884
0.5027,0.4434
0.5655,0.5021
0.6283,0.5628
0.6912,0.6235
0.7540,0.6821
0.8168,0.7372
0.8796,0.7873
0.9425,0.8319
1.0053,0.8705
1.0681,0.9032
1.1310,0.9303
1.1938,0.9522
1.2566,0.9693
1.3195,0.9820
1.3823,0.9907
1.4451,0.9955
1.5080,0.9968
1.5708,0.9948
1.6336,0.9895
1.6965,0.9810
1.7593,0.9695
1.8221,0.9550
1.8850,0.9374
1.9478,0.9169
2.0106,0.8934
2.0735,0.8670
2.1363,0.8377
2.1991,0.8054
2.2619,0.7701
2.3248,0.7319
2.3876,0.6907
2.4504,0.6466
2.5133,0.5997
2.5761,0.5499
2.6389,0.4975
2.7018,0.4425
2.7646,0.3852
2.8274,0.3257
2.8903,0.2642
2.9531,0.2011
3.0159,0.1367
3.0788,0.0713
3.1416,0.0053
3.2044,-0.0609
3.2673,-0.1269
3.3301,-0.1923
3.3929,-0.2568
3.4558,-0.3199
3.5186,-0.3812
3.5814,-0.4405
3.6442,-0.4974
3.7071,-0.5517
3.7699,-0.6032
3.8327,-0.6517
3.8956,-0.6971
3.9584,-0.7392
4.0212,-0.7781
4.0841,-0.8135
4.1469,-0.8457
4.2097,-0.8745
4.2726,-0.9001
4.3354,-0.9224
4.3982,-0.9415
4.4611,-0.9575
4.5239,-0.9704
4.5867,-0.9802
4.6496,-0.9870
4.7124,-0.9909
4.7752,-0.9917
4.8381,-0.9895
4.9009,-0.9840
4.9637,-0.9751
5.0265,-0.9625
5.0894,-0.9459
5.1522,-0.9248
5.2150,-0.8989
5.2779,-0.8679
5.3407,-0.8314
5.4035,-0.7894
5.4664,-0.7421
5.5292,-0.6900
5.5920,-0.6337
5.6549,-0.5741
5.7177,-0.5123
5.7805,-0.4494
5.8434,-0.3866
5.9062,-0.3248
5.9690,-0.2649
6.0319,-0.2077
6.0947,-0.1538
6.1575,-0.1034
6.2204,-0.0569
